Elementary,Intermediate ,Advanced
"The site charges a 4% fee for successful
campaigns. Entrepreneurs who do not find
the amount of money they wanted to find
can either pay back all the money or keep
all the money but pay a 9% fee.","Five years on and the site is raising about $2m
a week for new businesses in start-up and
growth stages. In December 2012, it launched
a euro and a sterling service to get a foothold
on this side of the Atlantic and says Britain is
its third biggest market. International activity is
up 41% since December.","The site was originally focused on the film
business and launched at the Sundance Film
Festival that year."
"A British woman made £100,000 to open a
“cat café” in London through the site. It will
be called Lady Dinah’s Cat Emporium, but it
is not open yet. It will be somewhere people
can “come in from the cold to a comfortable
chair, a hot cup of tea, a book and a cat”.","There is no shortage of competitors, be it
Kickstarter, Seedrs or Funding Circle, but
Indiegogo is the only crowdfunder where
anyone can launch a campaign. No project is
thought too wacky.","Five years on and it is raising about $2m a
week for new businesses in start-up and growth
stages. In December 2012, it launched a euro
and a sterling service to get a foothold this side
of the Atlantic and says Britain is its third biggest
market. International activity is up 41%
since December."
"With her Wall Street background and the
experience of helping 100,000 businesses
and services find money, Ringelmann has
good advice for entrepreneurs.","The site charges a 4% fee for successful
campaigns. For those that fail to raise their
target amount, users can either refund all
money to their contributors at no charge or
keep all money raised but pay a 9% fee.","There is no shortage of competitors, be it
Kickstarter, Seedrs or Funding Circle, but,
unlike rivals, says Ringelmann, Indiegogo is the
only crowdfunder where anyone can launch a
campaign. No project is deemed too wacky."
"“Ideas are a dime a dozen. What is
important is how you make your idea
happen. If you are afraid that someone will
steal your idea, and that that person will
make your idea happen better and faster
than you, then you are not the right person
to make the idea happen. It’s all about
confidence to move fast and to learn,”
she says.","A British woman raised £100,000 to open a
“cat café” in London through the site. Called
Lady Dinah’s Cat Emporium, it is not open yet
but is advertised as somewhere people can
“come in from the cold to a comfortable chair, a
hot cup of tea, a book and a cat”.","The site levies a 4% fee for successful
campaigns. For those that fail to raise their
target amount, users have the option of either
refunding all money to their contributors at no
charge or keeping all money raised but with a
9% fee."
"Crowdfunding as an alternative to banks
has grown, but, at the moment, big-bucks
investors with lots of money are not very
interested. That could start to change in the
UK when people start using InvestingZone.","“We’ve seen campaigns that go to venture
capitalists get rejected because the venture
capitalists say ‘great idea but no idea if the
market actually wants it; it could be something
that no one cares about,’” said Ringelmann.","A British woman, Lauren Pears, raised £100,000
to open a “cat café” in London through the site.
Known as Lady Dinah’s Cat Emporium, it is
yet to open but is billed as somewhere people
can “come in from the cold to a comfortable
wingback chair, a hot cup of tea, a book and
a cat”."
,"“The entrepreneurs do an Indiegogo campaign
and this can be enough market proof for
venture capitalists to say there is a market
for this.","“We’ve seen campaigns that go to venture
capitalists get rejected because the venture
guys say, ‘Great idea but no idea if the market
actually wants it; it could be a gadget that no
one cares about,’” said Ringelmann."
,"“It allows you to test your market, test your
pricing, test your features, discover new ways
of getting money, get vital feedback,”
says Ringelmann.","“The entrepreneurs do an Indiegogo campaign –
they don’t even actually launch the project,
but the campaign itself is enough market proof
for venture capitalists to say there is a market
for this."
,"With her Wall Street background and the
experience of helping 100,000 businesses and services raise money, Ringelmann has useful
advice for budding entrepreneurs.","“It allows you to test your market, test your
pricing, test your features, discover new revenue
streams, get vital feedback,” says Ringelmann."
,"“Ideas are a dime a dozen. It’s all about the
execution and, if you are afraid that your idea
will be stolen by someone who could execute
it better and faster than you, then you are not
the right person to execute that idea. It’s all
about confidence to move fast and to learn,”
she says.","With her Wall Street background and the
experience of helping 100,000 businesses and
services raise finance, Ringelmann has
fine-tuned her advice for the
budding entrepreneur."
,"While crowdfunding as an alternative to banks
has grown, it is not very attractive to big-bucks
investors who want a stake in a promising
business. That could start to change in the UK
with the launch of InvestingZone.","“Ideas are a dime a dozen. It’s all about the
execution and, if you are afraid that your idea
will be stolen by someone who could execute it
better and faster than you, then you are not the
right person to execute that idea. It’s all about
confidence to move fast and to learn,” she says."
,,"For Ringelmann, the expansion into Europe and
a deal with a web transaction provider, which
will allow payments to be made through local
card services like Maestro in the UK and Carte
Bleue in France, as well as PayPal, are part of a
dream to democratize finance. More than 7,000
campaigns for finance are live on the site."
,,"While crowdfunding as an alternative to banks
has grown, it has limited appeal to big-bucks
investors, who don’t settle for anything less than
a stake in a promising business. That could start
to change in the UK with the launch
of InvestingZone."
